customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0102,female,1,69.0,yes,dsl,two year,yes,credit card,32.33,2221.55,Yes
CUST-0550,female,0,12.0,yes,no,one year,no,electronic check,85.49,991.47,No
CUST-0248,female,0,40.0,yes,dsl,two year,no,credit card,47.95,1974.76,No
CUST-0004,female,0,14.0,yes,dsl,one year,no,mailed check,44.77,606.39,No
CUST-0087,female,0,28.0,yes,fiber optic,one year,no,electronic check,102.34,2770.45,No
CUST-0844,female,0,15.0,yes,no,month-to-month,yes,credit card,92.58,1436.2,No
CUST-0953,male,0,17.0,yes,dsl,month-to-month,no,electronic check,46.91,820.38,Yes
CUST-0291,male,0,36.0,yes,fiber optic,month-to-month,yes,mailed check,25.08,1897.93,No
CUST-0211,female,0,53.0,yes,no,month-to-month,no,electronic check,30.21,1604.28,Yes
CUST-0803,female,0,60.0,yes,dsl,two year,no,bank transfer,22.2,1279.97,No
CUST-0175,female,0,34.0,yes,no,month-to-month,no,mailed check,64.97,1939.95,No
CUST-0200,female,0,63.0,yes,dsl,two year,yes,electronic check,96.53,6265.33,Yes
CUST-0903,male,0,64.0,yes,no,month-to-month,yes,electronic check,106.82,7016.28,Yes
CUST-0064,male,0,16.0,yes,no,month-to-month,no,credit card,27.11,1897.93,No
CUST-0266,female,0,48.0,yes,fiber optic,month-to-month,yes,credit card,29.5,1435.94,No
CUST-0232,female,0,48.0,yes,no,month-to-month,yes,electronic check,91.45,4280.12,Yes
CUST-0804,female,0,65.0,yes,fiber optic,one year,yes,electronic check,91.16,6020.1,Yes
CUST-0626,male,0,-1.0,yes,fiber optic,month-to-month,yes,bank transfer,24.36,854.95,No
CUST-0569,female,0,4.0,yes,no,month-to-month,no,credit card,64.97,156.12,Yes
CUST-0855,male,1,45.0,no,no,month-to-month,no,credit card,999.0,1847.81,No
CUST-0040,male,0,41.0,yes,fiber optic,two year,yes,electronic check,76.57,3248.43,No
CUST-0807,female,0,47.0,yes,fiber optic,month-to-month,yes,electronic check,20.53,936.63,No
CUST-0169,male,0,21.0,yes,dsl,one year,no,mailed check,36.49,800.13,No
CUST-0591,male,0,36.0,no,fiber optic,month-to-month,no,electronic check,34.01,705.18,No
CUST-0465,female,1,38.0,yes,dsl,two year,yes,electronic check,64.07,2513.11,No
CUST-0999,female,0,67.0,yes,dsl,month-to-month,yes,mailed check,25.48,1669.43,No
CUST-0443,male,0,-3.0,yes,fiber optic,month-to-month,no,mailed check,35.94,851.96,No
CUST-0909,male,0,55.0,yes,no,two year,no,credit card,65.03,3731.89,No
CUST-0067,male,0,40.0,yes,dsl,one year,yes,credit card,94.38,3916.82,No
CUST-0308,male,0,22.0,yes,fiber optic,month-to-month,yes,electronic check,88.2,2004.13,No
CUST-0068,female,0,38.0,yes,dsl,month-to-month,no,bank transfer,102.24,3701.2,Yes
CUST-0199,female,0,1.0,yes,dsl,month-to-month,no,mailed check,57.42,59.45,No
CUST-0529,male,0,36.0,yes,fiber optic,one year,no,electronic check,48.64,949.12,No
CUST-0482,female,0,26.0,yes,fiber optic,month-to-month,no,bank transfer,25.66,663.37,Yes
CUST-0758,female,0,54.0,yes,dsl,two year,yes,bank transfer,64.97,1897.93,No
CUST-0988,male,0,23.0,yes,no,one year,yes,electronic check,33.84,778.03,No
CUST-0363,male,0,45.0,no,no,month-to-month,no,mailed check,92.27,1897.93,Yes
CUST-0845,male,1,32.0,no,fiber optic,month-to-month,yes,mailed check,65.92,2070.11,Yes
CUST-0559,female,0,33.0,yes,dsl,month-to-month,no,bank transfer,108.65,3607.91,No
CUST-0619,female,0,1.0,yes,dsl,one year,yes,electronic check,30.47,29.02,No
CUST-0353,female,0,39.0,yes,fiber optic,month-to-month,yes,bank transfer,49.53,1837.95,Yes
CUST-0761,male,0,34.0,yes,fiber optic,two year,no,bank transfer,56.7,1892.71,No
CUST-0930,male,0,28.0,yes,no,one year,no,bank transfer,48.26,1351.51,No
CUST-0293,female,0,36.0,yes,fiber optic,one year,yes,credit card,46.52,856.61,No
CUST-0753,female,0,31.0,yes,dsl,month-to-month,yes,credit card,54.08,1625.04,Yes
CUST-0101,male,0,36.0,yes,fiber optic,one year,no,mailed check,79.38,1510.12,No
CUST-0158,female,1,61.0,yes,fiber optic,month-to-month,no,bank transfer,92.52,5637.98,Yes
CUST-0646,female,0,13.0,yes,fiber optic,month-to-month,yes,mailed check,71.93,909.44,Yes
CUST-0809,male,0,27.0,yes,dsl,two year,yes,credit card,25.68,694.95,No
CUST-0306,female,1,28.0,yes,dsl,two year,yes,credit card,40.77,1139.39,No
CUST-0629,male,0,-5.0,yes,dsl,two year,no,mailed check,63.51,1932.41,No
CUST-0159,male,1,9.0,yes,fiber optic,month-to-month,yes,bank transfer,44.42,400.48,Yes
CUST-0552,female,0,17.0,yes,fiber optic,month-to-month,no,credit card,26.46,447.85,No
CUST-0003,female,1,55.0,yes,dsl,two year,no,mailed check,94.3,5132.29,No
CUST-0729,male,0,47.0,yes,fiber optic,month-to-month,no,electronic check,88.31,4063.61,Yes
CUST-0209,male,0,21.0,yes,fiber optic,month-to-month,yes,credit card,56.83,1242.47,Yes
CUST-0300,male,0,20.0,yes,dsl,month-to-month,yes,electronic check,50.13,983.63,Yes
CUST-0851,male,0,36.0,yes,fiber optic,month-to-month,yes,bank transfer,58.35,3291.15,No
CUST-0437,male,0,63.0,yes,no,two year,yes,credit card,38.98,2351.21,No
CUST-0870,female,0,26.0,yes,fiber optic,month-to-month,no,bank transfer,86.56,1897.93,Yes
CUST-0412,female,0,35.0,no,fiber optic,month-to-month,yes,credit card,21.83,727.86,No
CUST-0615,female,0,13.0,yes,dsl,month-to-month,no,electronic check,103.43,1409.19,No
CUST-0908,male,0,19.0,yes,fiber optic,one year,yes,electronic check,22.08,435.0,No
CUST-0997,female,1,37.0,yes,fiber optic,month-to-month,yes,mailed check,52.06,1967.47,No
CUST-0963,male,0,10.0,yes,fiber optic,two year,yes,bank transfer,67.3,700.19,No
CUST-0701,female,1,36.0,no,no,two year,yes,bank transfer,64.97,4846.4,No
CUST-0779,female,0,36.0,no,fiber optic,one year,no,bank transfer,35.45,1721.76,No
CUST-0307,female,0,-1.0,yes,no,month-to-month,no,credit card,51.57,200.22,Yes
CUST-0222,female,0,14.0,yes,dsl,two year,yes,bank transfer,81.63,1116.03,No
CUST-0494,male,0,42.0,yes,fiber optic,month-to-month,no,bank transfer,72.84,1897.93,No
CUST-0424,male,0,54.0,yes,fiber optic,two year,yes,bank transfer,77.6,4279.56,No
CUST-0299,female,0,38.0,yes,fiber optic,two year,yes,electronic check,38.42,1420.09,No
CUST-0468,female,0,8.0,yes,fiber optic,month-to-month,yes,bank transfer,51.32,411.1,No
CUST-0885,female,0,62.0,yes,dsl,month-to-month,yes,electronic check,23.33,1400.93,Yes
CUST-0756,female,0,9.0,yes,no,month-to-month,yes,electronic check,69.81,628.78,No
CUST-0107,male,0,24.0,yes,fiber optic,month-to-month,no,credit card,106.5,2452.89,No
CUST-0859,female,1,28.0,yes,dsl,month-to-month,yes,electronic check,88.46,2519.07,No
CUST-0056,female,0,70.0,yes,fiber optic,two year,yes,electronic check,33.06,2385.97,No
CUST-0121,female,1,3.0,yes,dsl,month-to-month,yes,bank transfer,80.66,1897.93,Yes
CUST-0311,male,0,66.0,no,fiber optic,month-to-month,no,electronic check,71.03,1897.93,Yes
CUST-0026,female,0,42.0,yes,fiber optic,one year,yes,bank transfer,81.18,3245.74,No
CUST-0073,male,0,63.0,yes,dsl,month-to-month,no,electronic check,72.78,4443.93,No
CUST-0531,female,0,8.0,yes,dsl,two year,no,electronic check,87.13,720.33,No
CUST-0045,male,1,33.0,yes,no,one year,yes,electronic check,107.97,3423.09,No
CUST-0276,female,0,20.0,yes,fiber optic,month-to-month,no,mailed check,104.4,2029.32,No
CUST-0479,female,0,67.0,yes,fiber optic,month-to-month,no,credit card,107.11,7398.14,Yes
CUST-0315,female,0,38.0,yes,fiber optic,month-to-month,yes,electronic check,29.98,1181.99,No
CUST-0337,female,0,8.0,yes,dsl,two year,yes,electronic check,35.14,279.75,No
CUST-0690,male,0,31.0,yes,fiber optic,one year,yes,mailed check,79.34,2398.61,No
CUST-0431,male,0,32.0,yes,fiber optic,month-to-month,yes,electronic check,25.33,798.88,No
CUST-0951,female,0,20.0,yes,no,month-to-month,yes,mailed check,90.5,1740.92,No
CUST-0834,male,0,67.0,yes,fiber optic,month-to-month,no,electronic check,83.07,5576.06,Yes
CUST-0589,male,0,42.0,no,fiber optic,month-to-month,no,electronic check,67.03,2786.08,Yes
CUST-0704,male,0,29.0,yes,fiber optic,two year,no,electronic check,86.31,2434.07,No
CUST-0328,female,0,35.0,yes,no,month-to-month,yes,electronic check,29.55,1015.44,No
CUST-0716,female,1,13.0,yes,no,month-to-month,yes,credit card,99.15,1287.69,Yes
CUST-0604,male,0,71.0,yes,fiber optic,month-to-month,no,bank transfer,100.88,7313.2,No
CUST-0928,female,0,37.0,yes,fiber optic,one year,yes,bank transfer,27.78,1055.09,No
CUST-0981,male,0,47.0,yes,fiber optic,month-to-month,yes,electronic check,999.0,3784.76,No
CUST-0972,female,0,69.0,yes,no,month-to-month,yes,mailed check,60.88,4158.85,Yes
CUST-0763,male,0,8.0,yes,no,one year,yes,electronic check,89.12,713.77,No
CUST-0332,female,0,13.0,yes,fiber optic,month-to-month,no,mailed check,103.59,1364.79,Yes
CUST-0061,male,1,22.0,no,dsl,month-to-month,no,credit card,64.97,1763.82,Yes
CUST-0746,female,0,28.0,yes,dsl,month-to-month,no,credit card,108.06,1897.93,No
CUST-0372,male,0,69.0,yes,no,two year,no,bank transfer,38.92,2619.63,No
CUST-0093,female,0,44.0,yes,dsl,month-to-month,yes,mailed check,75.39,3403.31,No
CUST-0723,male,0,58.0,yes,no,two year,yes,electronic check,49.64,1897.93,No
CUST-0491,male,0,30.0,yes,fiber optic,one year,yes,bank transfer,34.45,987.69,No
CUST-0463,female,0,11.0,yes,fiber optic,month-to-month,yes,bank transfer,106.61,1179.84,Yes
CUST-0219,female,0,59.0,yes,fiber optic,month-to-month,yes,bank transfer,58.51,3555.54,No
CUST-0514,female,0,32.0,yes,fiber optic,one year,no,electronic check,96.5,3193.46,No
CUST-0621,male,0,35.0,yes,dsl,month-to-month,yes,mailed check,107.14,3782.72,Yes
CUST-0426,female,1,36.0,yes,no,two year,yes,electronic check,105.12,3937.28,No
CUST-0333,male,0,61.0,yes,fiber optic,month-to-month,yes,credit card,92.39,5654.23,Yes
CUST-0860,male,0,65.0,yes,fiber optic,one year,no,electronic check,63.27,1897.93,No
CUST-0990,female,0,8.0,yes,fiber optic,month-to-month,yes,electronic check,102.34,1897.93,Yes
CUST-0583,male,0,31.0,yes,dsl,month-to-month,yes,electronic check,22.03,698.3,No
CUST-0356,female,1,39.0,yes,dsl,month-to-month,yes,bank transfer,60.79,2285.26,No
CUST-0483,male,0,27.0,yes,dsl,two year,no,mailed check,62.85,1719.47,No
CUST-0546,male,0,56.0,yes,no,month-to-month,yes,credit card,64.75,3807.12,No
CUST-0111,male,0,9.0,yes,fiber optic,one year,yes,credit card,83.48,756.04,Yes
CUST-0515,male,0,51.0,no,dsl,one year,yes,mailed check,96.17,1897.93,No
CUST-0603,male,0,26.0,no,dsl,month-to-month,yes,credit card,91.93,2341.44,Yes
CUST-0996,male,0,15.0,yes,fiber optic,month-to-month,no,mailed check,69.18,1008.36,Yes
CUST-0508,female,0,13.0,yes,fiber optic,month-to-month,yes,credit card,71.99,960.6,Yes
CUST-0335,male,1,46.0,yes,no,one year,no,mailed check,42.43,1911.06,No
CUST-0849,female,1,59.0,no,dsl,month-to-month,yes,mailed check,60.32,3562.46,No
CUST-0295,male,0,52.0,no,fiber optic,two year,yes,electronic check,40.14,2020.74,No
CUST-0287,male,0,47.0,yes,dsl,month-to-month,no,electronic check,101.88,4836.89,No
CUST-0939,male,0,67.0,yes,fiber optic,month-to-month,yes,electronic check,54.69,3691.66,Yes
CUST-0448,female,0,37.0,yes,dsl,month-to-month,yes,bank transfer,45.61,1725.05,No
CUST-0693,female,0,57.0,yes,fiber optic,month-to-month,no,mailed check,34.28,1897.93,Yes
CUST-0653,female,0,55.0,yes,fiber optic,two year,no,credit card,93.53,4995.17,No
CUST-0969,female,0,22.0,yes,fiber optic,one year,no,mailed check,57.81,1269.7,No
CUST-0278,female,1,44.0,yes,dsl,two year,yes,bank transfer,21.76,936.09,No
CUST-0759,female,0,56.0,yes,fiber optic,month-to-month,no,electronic check,103.45,5986.1,Yes
CUST-0138,female,0,16.0,yes,dsl,month-to-month,yes,electronic check,39.22,628.0,No
CUST-0502,female,0,17.0,yes,no,one year,yes,bank transfer,106.06,1725.58,No
CUST-0405,male,0,38.0,yes,fiber optic,month-to-month,no,electronic check,28.4,1087.15,No
CUST-0524,female,0,13.0,no,dsl,month-to-month,yes,mailed check,109.74,1362.8,No
CUST-0781,female,0,10.0,yes,fiber optic,one year,no,mailed check,22.29,220.51,No
CUST-0978,male,0,19.0,yes,no,two year,no,electronic check,94.94,1829.79,No
CUST-0581,male,0,47.0,no,fiber optic,month-to-month,no,bank transfer,106.76,5185.97,Yes
CUST-0238,male,0,45.0,yes,no,month-to-month,no,bank transfer,29.71,1366.25,Yes
CUST-0989,male,0,15.0,yes,fiber optic,month-to-month,yes,mailed check,91.41,1359.96,No
CUST-0216,male,0,9.0,yes,fiber optic,month-to-month,yes,electronic check,105.9,923.4,Yes
CUST-0895,female,0,11.0,yes,dsl,month-to-month,no,bank transfer,34.72,379.31,Yes
CUST-0245,male,0,36.0,yes,dsl,two year,yes,mailed check,62.78,3386.98,No
CUST-0553,female,0,19.0,yes,no,month-to-month,no,bank transfer,87.26,1639.01,No
CUST-0838,male,0,44.0,yes,fiber optic,one year,no,electronic check,76.11,3294.19,Yes
CUST-0864,male,0,54.0,yes,fiber optic,month-to-month,yes,credit card,37.72,2004.6,Yes
CUST-0668,male,1,31.0,yes,no,month-to-month,yes,bank transfer,70.67,2222.0,Yes
CUST-0622,male,0,66.0,yes,dsl,one year,no,electronic check,103.06,6503.79,No
CUST-0079,male,0,20.0,yes,dsl,month-to-month,no,credit card,81.95,1644.18,No
CUST-0030,male,0,37.0,yes,no,two year,yes,mailed check,62.55,2338.39,No
CUST-0451,female,0,36.0,yes,fiber optic,one year,no,credit card,74.72,2818.63,No
CUST-0290,female,0,46.0,yes,dsl,month-to-month,yes,mailed check,32.07,1539.34,No
CUST-0050,male,0,58.0,yes,dsl,month-to-month,no,mailed check,109.84,6489.59,Yes
CUST-0671,male,0,32.0,yes,dsl,two year,yes,bank transfer,43.13,1419.67,No
CUST-0799,female,0,24.0,no,no,month-to-month,yes,electronic check,78.37,1864.45,Yes
CUST-0166,female,0,47.0,yes,dsl,month-to-month,yes,electronic check,78.72,3883.79,No
CUST-0931,male,0,42.0,yes,no,month-to-month,no,electronic check,61.36,2519.05,No
CUST-0179,female,0,58.0,yes,dsl,month-to-month,yes,mailed check,41.43,2349.14,No
CUST-0694,male,0,26.0,yes,fiber optic,month-to-month,no,bank transfer,48.14,1231.27,No
CUST-0066,female,0,39.0,yes,dsl,month-to-month,yes,mailed check,90.63,3631.23,No
CUST-0142,male,0,30.0,yes,dsl,one year,no,electronic check,25.35,725.63,No
CUST-0986,male,0,21.0,no,fiber optic,one year,yes,bank transfer,102.51,2082.07,No
CUST-0352,female,0,59.0,yes,no,one year,no,credit card,20.48,1197.99,No
CUST-0862,male,0,47.0,yes,fiber optic,month-to-month,no,electronic check,64.97,4068.7,Yes
CUST-0441,male,1,57.0,yes,dsl,month-to-month,no,electronic check,101.33,6009.5,No
CUST-0347,female,0,49.0,yes,fiber optic,month-to-month,no,mailed check,59.85,3019.9,No
CUST-0255,male,0,53.0,yes,no,one year,no,bank transfer,23.26,1175.01,No
CUST-0695,male,0,18.0,yes,no,month-to-month,no,bank transfer,29.53,505.72,Yes
CUST-0345,male,0,36.0,yes,no,month-to-month,yes,electronic check,64.97,430.38,No
CUST-0236,female,0,19.0,yes,fiber optic,month-to-month,no,bank transfer,22.6,449.19,Yes
CUST-0548,female,0,41.0,yes,fiber optic,month-to-month,no,mailed check,37.27,1539.7,No
CUST-0500,female,1,59.0,yes,no,month-to-month,yes,electronic check,46.23,2772.52,Yes
CUST-0596,male,0,56.0,yes,dsl,two year,no,bank transfer,48.49,1897.93,No
CUST-0941,male,0,45.0,yes,fiber optic,one year,no,mailed check,95.77,4251.21,Yes
CUST-0250,female,0,36.0,no,no,month-to-month,yes,credit card,82.19,761.41,No
CUST-0641,male,0,34.0,yes,dsl,month-to-month,yes,mailed check,75.97,2546.17,No
CUST-0382,female,0,68.0,yes,fiber optic,one year,no,credit card,25.64,1694.64,No
CUST-0072,male,0,64.0,yes,fiber optic,month-to-month,yes,mailed check,64.97,5838.56,No
CUST-0095,female,0,6.0,yes,dsl,month-to-month,yes,mailed check,60.25,359.9,Yes
CUST-0034,female,0,36.0,yes,fiber optic,one year,yes,electronic check,107.48,333.38,Yes
CUST-0260,male,0,8.0,yes,fiber optic,one year,yes,mailed check,90.31,690.91,No
CUST-0205,female,0,47.0,yes,fiber optic,month-to-month,no,mailed check,70.49,1897.93,Yes
CUST-0360,female,0,19.0,yes,dsl,month-to-month,yes,mailed check,23.65,1897.93,Yes
CUST-0602,male,0,8.0,yes,fiber optic,month-to-month,yes,credit card,27.78,225.3,Yes
CUST-0399,female,0,39.0,yes,dsl,one year,yes,credit card,101.3,3993.88,Yes
CUST-0078,male,0,36.0,yes,dsl,month-to-month,no,bank transfer,22.35,483.6,No
CUST-0085,male,1,40.0,yes,fiber optic,month-to-month,no,bank transfer,21.7,858.8,No
CUST-0320,male,0,12.0,yes,fiber optic,one year,yes,bank transfer,62.08,1897.93,No
CUST-0083,male,0,14.0,yes,dsl,month-to-month,yes,electronic check,27.59,393.15,No
CUST-0948,female,0,32.0,yes,no,two year,yes,electronic check,47.79,1476.56,No
CUST-0708,female,0,19.0,yes,dsl,one year,no,credit card,103.48,1897.93,No
CUST-0539,male,0,54.0,no,dsl,one year,yes,bank transfer,82.82,4527.57,No
CUST-0544,female,0,11.0,yes,dsl,month-to-month,yes,electronic check,24.16,261.89,No
CUST-0826,female,0,43.0,yes,no,month-to-month,yes,bank transfer,86.84,3602.23,No
CUST-0429,male,0,36.0,yes,fiber optic,two year,yes,bank transfer,27.08,835.61,No
CUST-0310,male,0,67.0,yes,dsl,month-to-month,yes,mailed check,82.01,1897.93,No
CUST-0006,male,0,16.0,yes,fiber optic,month-to-month,yes,bank transfer,83.7,1312.17,No
CUST-0789,male,0,24.0,yes,dsl,month-to-month,yes,mailed check,73.45,1765.13,No
CUST-0105,female,1,12.0,no,fiber optic,two year,no,bank transfer,74.77,902.51,No
CUST-0098,male,0,23.0,yes,dsl,two year,no,credit card,49.08,1151.64,No
CUST-0297,female,0,36.0,yes,fiber optic,month-to-month,yes,mailed check,109.19,2283.7,Yes
CUST-0409,female,0,36.0,no,fiber optic,month-to-month,no,bank transfer,106.05,201.87,Yes
CUST-0446,female,0,56.0,yes,dsl,month-to-month,yes,electronic check,70.97,3830.36,Yes
CUST-0904,female,0,59.0,yes,dsl,one year,yes,credit card,65.83,3916.82,No
CUST-0282,male,0,68.0,yes,dsl,two year,yes,credit card,75.74,5029.75,No
CUST-0267,female,0,30.0,yes,dsl,month-to-month,no,bank transfer,83.59,2460.15,No
CUST-0740,male,0,36.0,yes,fiber optic,month-to-month,yes,mailed check,43.36,886.3,Yes
CUST-0887,female,0,46.0,yes,no,one year,no,electronic check,83.43,3850.6,No
CUST-0535,female,0,36.0,yes,fiber optic,month-to-month,yes,bank transfer,101.71,3615.88,No
CUST-0433,female,0,67.0,yes,no,two year,no,electronic check,36.62,2482.05,No
CUST-0912,male,1,4.0,yes,dsl,one year,yes,electronic check,88.79,345.82,No
CUST-0657,male,0,65.0,no,fiber optic,one year,no,credit card,50.18,3113.0,No
CUST-0119,female,0,2.0,yes,fiber optic,month-to-month,no,credit card,93.9,185.97,No
CUST-0406,female,0,3.0,yes,dsl,month-to-month,no,bank transfer,66.88,199.53,Yes
